"","Folder","Image Name","Origin","Accession #","Fossil/extant","Tooth Type","Side","Family","Tribe","Genus","Species","User ID","ML or BW"
"2756",NA,"DSCN5628","TM","12112","Extant","LM3","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2757",NA,"DSCN5632","TM","17077","Extant","LM3","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2758",NA,"DSCN5636","TM","17128","Extant","LM3","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2759",NA,"DSCN5640","TM","11564","Extant","LM3","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2760",NA,"DSCN5644","TM","4726","Extant","LM3","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2761",NA,"DSCN5648","TM","12109","Extant","LM3","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2762",NA,"DSCN5652","TM","AZ 2228","Extant","LM3","R","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2763",NA,"IMG_1072","Amathole","15290","Extant","LM3","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2764",NA,"IMG_1084","Amathole","15293","Extant","LM3","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2765",NA,"IMG_1092","Amathole","15282","Extant","LM3","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2766",NA,"IMG_1098","Amathole","15284","Extant","LM3","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2767",NA,"IMG_1110","Amathole","15285","Extant","LM3","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
